Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico,
"C1, C10, C14, C16, C17, C18, C3, C4, C5, C6, C7, C9",0805,12,100nF,
C11,0805,1,1pF,
C12,0805,1,1nF,
C13,0805,1,22uF,
C15,0805,1,1uF,
C2,0805,1,330nF,
C8,0805,1,10uF,
D6,D_SMA,1,1N4001,
D7,0805,1,LED,
D8,SOT-23,1,BAT54S,
"J1, J10, J12, J17, J5",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02,
"J11, J13, J14, J15, J16, J22, J3, J7",PinHeader_1x03_P2.54mm_Vertical,8,Conn_01x03,
"J18, J19, J20, J21, J23",SMA_Amphenol_901-144_Vertical,5,Conn_Coaxial,
J2,Screw terminal 3 pin,1,SCREW_TERMINAL,
"J4, J6, J8, J9",PinHeader_2x05_P2.54mm_Vertical,4,Conn_02x05_Odd_Even,
"Q1, Q11, Q12, Q6",SOT-223-3_TabPin2,4,ZXMP4A16G,
"Q10, Q18, Q20, Q5",SOT-23,4,BC857C,
"Q13, Q14, Q15, Q16, Q17, Q19, Q2, Q21, Q22, Q3, Q4, Q7, Q8, Q9",SOT-23,14,MMBTA14,
Q23,SOT-23,1,BC857,
"R1, R14, R17, R19, R20, R21, R24, R27, R30, R31, R34, R35, R36, R37, R38, R40, R48, R5, R50, R56, R59, R60, R7, R8, R9",0805,25,10K,
"R10, R11, R18, R22, R23, R32, R33, R39, R41, R42, R43, R6",0805,12,100K,
"R12, R13",0805,2,0R,
"R15, R16, R2, R25, R26, R28, R29, R3",0805,8,**,
"R4, R49, R61, R62",0805,4,3K3,
"R44, R47, R52, R57, R63, R65, R67, R68",0805,8,100R,
R45,0805,1,22K,
R46,0805,1,1K,
R51,0805,1,8k2,
R53,0805,1,47K,
"R54, R55, R58, R64, R66",0805,5,49R9,
TP1,TestPoint_Pad_2.5x2.5mm,1,5V,
U6,TO-220-3_Vertical,1,LM7805_TO220,
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,OPA1679,
