Designator,Mid X,Mid Y,Rotation,Layer
A1,101.2945,18.95,270.0,top
C1,121.809,13.24,180.0,bottom
C10,28.6,31.45,0.0,bottom
C11,26.1465,16.04,180.0,bottom
C12,26.109,13.24,180.0,bottom
C13,32.809,11.74,180.0,bottom
C14,20.209,30.24,90.0,bottom
C15,29.918,20.04,270.0,bottom
C16,20.209,15.14,270.0,bottom
C17,12.109,19.44,270.0,bottom
C18,12.109,25.94,90.0,bottom
C2,36.209,20.315,90.0,bottom
C3,36.218,24.74,270.0,bottom
C4,112.609,6.74,0.0,bottom
C5,104.209,13.94,90.0,bottom
C6,84.009,37.44,90.0,top
C7,78.009,37.24,90.0,top
C8,22.709,24.8775,270.0,top
C9,22.709,19.8775,90.0,top
D6,28.7349,8.04,180.0,bottom
D7,55.409,22.34,180.0,top
D8,31.5465,15.34,180.0,bottom
J1,40.014,2.74,270.0,top
J10,70.379,42.74,90.0,top
J11,40.65,22.35,180.0,top
J12,58.914,2.74,270.0,top
J13,60.969,42.74,90.0,top
J14,68.049,2.79,270.0,top
J15,83.999,3.84,90.0,top
J16,84.309,42.84,90.0,top
J18,28.26,39.66,180.0,top
J19,14.409,39.5,180.0,top
J2,28.7691,4.82655,0.0,top
J20,14.509,5.6,0.0,top
J21,5.509,16.24,180.0,top
J22,96.749,3.84,90.0,top
J23,5.409,29.14,180.0,top
J3,49.194,2.735,270.0,top
J4,118.279,37.64,0.0,top
J5,50.779,42.74,90.0,top
J6,110.179,37.64,0.0,top
J7,41.559,42.74,90.0,top
J8,102.079,37.64,0.0,top
J9,93.979,37.66,0.0,top
Q1,40.309,10.985,90.0,top
Q10,43.609,33.4525,90.0,top
Q11,69.469,34.24,270.0,top
Q12,59.309,10.84,90.0,top
Q13,63.809,30.64,180.0,bottom
Q14,70.709,10.74,180.0,bottom
Q15,59.709,39.24,270.0,bottom
Q16,70.699,6.1,180.0,bottom
Q17,58.359,33.84,270.0,top
Q18,62.459,33.49,90.0,top
Q19,70.499,10.54,90.0,top
Q2,52.009,10.285,180.0,bottom
Q20,66.010578,10.546877,270.0,top
Q21,79.959,22.04,90.0,bottom
Q22,94.5215,18.04,180.0,bottom
Q23,103.459,19.99,0.0,bottom
Q3,51.909,6.24,180.0,bottom
Q4,51.4165,10.235,90.0,top
Q5,47.009,10.235,270.0,top
Q6,50.559,34.24,270.0,top
Q7,45.309,30.64,180.0,bottom
Q8,40.209,39.24,270.0,bottom
Q9,39.009,33.99,270.0,top
R1,46.754,14.435,0.0,top
R10,55.274,6.012936,90.0,bottom
R11,46.196521,13.748873,180.0,bottom
R12,84.759,13.69,90.0,bottom
R13,87.359,13.69,90.0,bottom
R14,43.559,29.89,180.0,top
R15,47.959,38.99,270.0,bottom
R16,44.209,38.99,90.0,bottom
R17,45.509,35.04,0.0,bottom
R18,40.109,32.54,180.0,bottom
R19,39.009,38.44,180.0,top
R2,44.959,6.99,90.0,bottom
R20,43.459,38.49,180.0,top
R21,39.059,29.89,180.0,top
R22,40.109,35.04,180.0,bottom
R23,40.109,30.14,180.0,bottom
R24,62.459,29.99,180.0,top
R25,66.709,39.24,270.0,bottom
R26,63.209,39.24,90.0,bottom
R27,66.399,14.4,0.0,top
R28,63.959,6.99,90.0,bottom
R29,66.459,6.99,270.0,bottom
R3,47.459,6.99,270.0,bottom
R30,63.959,34.99,180.0,bottom
R31,71.009,13.84,180.0,bottom
R32,55.609,32.54,180.0,bottom
R33,75.509,13.84,0.0,bottom
R34,58.419,38.24,180.0,top
R35,70.699,6.1,180.0,top
R36,62.259,38.24,180.0,top
R37,66.209,6.1,0.0,top
R38,57.649,29.99,180.0,top
R39,55.609,35.04,180.0,bottom
R4,51.509,22.34,0.0,top
R40,70.699,14.4,0.0,top
R41,74.209,6.04,90.0,bottom
R42,55.609,30.04,180.0,bottom
R43,65.209,13.84,180.0,bottom
R44,86.809,37.373333,270.0,top
R47,80.709,37.306667,270.0,top
R49,79.909,18.64,180.0,bottom
R5,52.204,13.735,180.0,bottom
R50,29.918,24.94,270.0,bottom
R51,36.409,15.24,90.0,bottom
R52,26.109,26.2,0.0,bottom
R53,37.509,11.74,180.0,bottom
R54,20.209,34.74,90.0,bottom
R55,28.6,33.95,0.0,bottom
R56,24.7,32.9,90.0,bottom
R57,26.109,18.5,0.0,bottom
R58,20.209,10.64,270.0,bottom
R59,97.959,19.99,270.0,bottom
R6,56.709,13.74,0.0,bottom
R60,99.959,19.99,270.0,bottom
R61,93.709,14.74,180.0,bottom
R62,106.709,19.74,270.0,bottom
R63,26.109,21.1,0.0,bottom
R64,11.209,16.14,0.0,bottom
R65,26.109,23.7,0.0,bottom
R66,11.209,29.14,180.0,bottom
R67,87.509,6.34,180.0,bottom
R68,82.959,6.34,0.0,bottom
R7,51.704,5.99,0.0,top
R8,47.209,5.99,0.0,top
R9,51.454,14.485,0.0,top
U6,33.759,22.44,90.0,top
U7,17.609,22.5125,270.0,bottom
